"","X","AlertCategory","NetworkEventType","NetworkInteractionType","DataTransferVolume_IN","DataTransferVolume_OUT","TransactionsPerSession","NetworkAccessFrequency","UserActivityLevel","SessionIntegrityCheck","ResourceUtilizationFlag","SecurityRiskLevel","ResponseTime","Classification"
"48100",50074,"Warning","PolicyViolation","Critical",122057024,61168970,15447,35067,5,FALSE,FALSE,130853884,25.80084,"Normal"
"488631",508988,"Warning","Policy_Violation","Suspicious",130739465,173116495,38329,45291,6,TRUE,FALSE,119440910,32.10232,"Normal"
"24439",25450,"Warning","ThreatDetected","Anomalous",123331484,125416432,28425,38797,6,FALSE,FALSE,142145895,37.71623,"Normal"
"312142",325099,"Warning","ThreatDetected","Elevated",128312605,204563347,45031,22890,6,FALSE,FALSE,173111024,25.04262,"Normal"
"340815",355056,"Informational","Policy_Violation","Anomalous",124608469,125121769,27967,46905,5,FALSE,FALSE,197240269,26.16757,"Normal"
"325423",338982,"Warning","NormalOperation","Anomalous",122684249,119335980,28387,36776,6,FALSE,FALSE,158827237,41.63412,"Normal"
"111879",116447,"Warning","PolicyViolation","Anomalous",133171439,157212242,37462,29046,8,TRUE,FALSE,154784827,28.40499,"Normal"
"49692",51735,"Warning","NormalOperation","Suspicious",132004108,175569656,39029,39574,6,FALSE,FALSE,93927940,NA,"Normal"
"220093",229278,"Warning","PolicyViolation","Suspicious",125997238,174082700,37200,NA,5,TRUE,TRUE,198977849,24.36175,"Normal"
"502929",523911,"Warning","Policy_Violation","Elevated",138333180,207205530,46158,37957,6,FALSE,FALSE,129692723,31.29265,"Normal"
"349373",364008,"Warning","PolicyViolation","Anomalous",119771203,119330597,28677,36743,6,TRUE,FALSE,107039642,42.46475,"Normal"
"466656",486069,"Warning","NormalOperation","Suspicious",134191721,196000211,42533,34477,5,FALSE,FALSE,128076641,29.41591,"Normal"
"329199",342926,"Warning","PolicyViolation","Anomalous",133477415,141242500,32283,36873,6,FALSE,FALSE,133205320,34.89646,"Normal"
"398668",415294,"Warning","ThreatDetected","Anomalous",138374440,66828400,23159,41831,6,TRUE,FALSE,89824368,29.80536,"Normal"
"322342",335745,"Warning","PolicyViolation","Critical",120335325,105323558,22586,30252,5,FALSE,FALSE,181068580,33.11982,"Normal"
"23354",24312,"Warning","PolicyViolation","Anomalous",124262978,137729604,29025,41996,4,FALSE,TRUE,148066327,31.47864,"Normal"
"195527",203685,"Warning","Policy_Violation","Elevated",140125031,210875675,46259,27432,6,TRUE,FALSE,182191724,31.41985,"Normal"
"239721",249671,"Informational","PolicyViolation","Suspicious",131603075,187473702,41855,35625,6,FALSE,FALSE,105373580,38.74453,"Normal"
"210428",219184,"Warning","PolicyViolation","Suspicious",137622634,148731800,34714,34704,6,TRUE,FALSE,168604743,23.74691,"Normal"
"245231",255410,"Warning","Policy_Violation","Suspicious",131882435,165332154,37261,34868,6,TRUE,FALSE,176617231,NA,"Normal"
"30201",31450,"Warning","PolicyViolation","Anomalous",133998135,100347562,26415,27692,5,FALSE,FALSE,146067434,37.63372,"Normal"
"414803",432095,"Warning","Policy_Violation","Suspicious",128581772,162230673,35138,33129,5,FALSE,FALSE,103943668,30.40071,"Normal"
"535839",558158,"Warning","PolicyViolation","Suspicious",130724695,170945842,37251,34565,5,FALSE,FALSE,179125305,30.31849,"Normal"
"26203",27294,"Warning","PolicyViolation","Anomalous",128793535,128998990,29058,19382,5,TRUE,FALSE,177646367,34.11706,"Normal"
"239618",249560,"Warning","Policy_Violation","Suspicious",131483562,163373076,35318,38319,5,FALSE,FALSE,140125592,30.67471,"Normal"
"304918",317554,"Alert","PolicyViolation","Anomalous",129171261,134515712,30000,25683,5,FALSE,FALSE,163272029,NA,"Normal"
"200237",208586,"Warning","Policy_Violation","Suspicious",121499373,143041039,32268,48033,5,FALSE,FALSE,211509495,21.93428,"Normal"
"239595",249536,"Warning","PolicyViolation","Suspicious",129157609,168246908,35861,33213,5,TRUE,FALSE,183655189,37.28067,"Normal"
"130785",136146,"Warning","ThreatDetected","Anomalous",131115692,140200078,33067,26815,7,TRUE,FALSE,151442244,29.95141,"Normal"
"539316",561765,"Warning","PolicyViolation","Suspicious",131683330,195904062,44115,30197,7,TRUE,FALSE,106507747,39.07955,"Normal"
"128204",133464,"Warning","Policy_Violation","Suspicious",130038615,176769314,39716,NA,6,TRUE,FALSE,133020574,23.9411,"Normal"
"232036",241694,"Alert","Policy_Violation","Anomalous",124967111,116668531,26167,33871,6,TRUE,FALSE,160420260,34.80261,"Normal"
"162840",169575,"Warning","PolicyViolation","Suspicious",131693892,176868527,38988,40856,6,FALSE,FALSE,164768580,22.8113,"Normal"
"473248",492936,"Warning","PolicyViolation","Suspicious",126660634,157068767,34864,NA,5,TRUE,FALSE,164777138,28.72554,"Normal"
"524087",545923,"Alert","PolicyViolation","Suspicious",133851725,158140761,34505,32977,5,TRUE,FALSE,152972574,NA,"Normal"
"197565",205802,"Warning","PolicyViolation","Suspicious",134606499,165044051,37866,NA,7,TRUE,FALSE,122911454,22.33359,"Normal"
"493206",513767,"Warning","NormalOperation","Anomalous",133851027,140342627,32506,37165,6,TRUE,FALSE,90873218,NA,"Normal"
"168448",175427,"Warning","PolicyViolation","Elevated",138289564,191757701,43728,34151,6,FALSE,FALSE,179110359,39.22073,"Normal"
"4736",4932,"Warning","PolicyViolation","Anomalous",146903986,128290287,29612,37105,6,TRUE,FALSE,119122356,NA,"Normal"
"296324",308629,"Warning","PolicyViolation","Suspicious",124032884,154535028,32922,45560,4,TRUE,TRUE,144440531,31.21773,"Normal"
"163449",170208,"Warning","PolicyViolation","Anomalous",131506310,137487620,30322,31164,5,TRUE,FALSE,148935358,32.69133,"Normal"
"109374",113832,"Warning","ThreatDetected","Elevated",131624950,210396563,45251,24783,5,FALSE,FALSE,164398862,20.18502,"Normal"
"474334",494080,"Alert","Policy_Violation","Anomalous",134459207,140879181,32273,27178,6,FALSE,FALSE,116877388,27.83005,"Normal"
"407683",424673,"Alert","Policy_Violation","Suspicious",160765906,73041200,25375,34392,6,FALSE,FALSE,127783127,25.49272,"Normal"
"492241",512746,"Warning","PolicyViolation","Suspicious",136979327,90348685,26171,26891,6,TRUE,FALSE,166013195,15.73074,"Normal"
"259433",270205,"Warning","PolicyViolation","Anomalous",120709277,100684470,22832,39796,5,FALSE,FALSE,215833839,31.74915,"Normal"
"337375",351441,"Warning","PolicyViolation","Suspicious",124504741,164018043,35023,NA,4,TRUE,TRUE,143257437,NA,"Normal"
"43252",45035,"Warning","PolicyViolation","Anomalous",140018280,85688395,24381,35061,5,TRUE,FALSE,160712924,34.49136,"Normal"
"178117",185521,"Warning","PolicyViolation","Critical",129949855,90113811,20028,47867,4,FALSE,FALSE,155639697,27.11188,"Normal"
"286584",298493,"Warning","ThreatDetected","Suspicious",147862993,93564021,26841,36315,6,TRUE,FALSE,133425745,32.42585,"Normal"
"160815",167458,"Alert","PolicyViolation","Suspicious",130341179,147942906,32855,34011,5,TRUE,FALSE,180470240,34.83998,"Normal"
"169461",176479,"Warning","ThreatDetected","Anomalous",122888356,146314477,31289,38535,5,FALSE,FALSE,164901181,32.97977,"Normal"
"72341",75297,"Warning","Policy_Violation","Anomalous",140023881,143496631,32113,24771,6,FALSE,FALSE,140754542,33.67873,"Normal"
"293805",305985,"Warning","PolicyViolation","Elevated",141321575,223628408,51844,36543,8,TRUE,FALSE,213839940,35.62153,"Normal"
"38901",40502,"Warning","Policy_Violation","Anomalous",127282323,130399518,30674,25456,6,TRUE,FALSE,134281515,29.32111,"Normal"
"30695",31958,"Warning","PolicyViolation","Anomalous",129068883,120936151,26698,29865,5,TRUE,FALSE,155592764,NA,"Normal"
"292450",304584,"Warning","PolicyViolation","Anomalous",145411348,166114805,37657,44229,6,FALSE,FALSE,142020971,34.09078,"Normal"
"122263",127266,"Warning","PolicyViolation","Suspicious",132268590,158201108,33941,39296,5,FALSE,FALSE,147582523,28.50449,"Normal"
"429294",447216,"Warning","Policy_Violation","Anomalous",131486405,141370787,31928,18019,5,TRUE,FALSE,206101911,32.76552,"Normal"
"541545",564088,"Warning","PolicyViolation","Suspicious",123075169,163666300,35504,37937,5,FALSE,FALSE,101863350,17.129,"Normal"
"125615",130763,"Warning","Policy_Violation","Anomalous",134077485,105133201,25440,32070,6,TRUE,FALSE,176555995,29.44786,"Normal"
"38188",39759,"Warning","PolicyViolation","Anomalous",132543018,141746481,30630,33384,5,TRUE,FALSE,182387686,24.92959,"Normal"
"422659",440319,"Alert","PolicyViolation","Anomalous",133836321,115183353,26832,40893,6,FALSE,FALSE,137205005,30.52644,"Normal"
"214501",223426,"Warning","Policy_Violation","Suspicious",138840349,167704851,38583,17103,6,TRUE,FALSE,183826128,25.18585,"Normal"
"112869",117484,"Warning","Policy_Violation","Suspicious",129185891,184901222,39933,44220,5,FALSE,TRUE,136393245,16.5507,"Normal"
"285364",297220,"Informational","Policy_Violation","Suspicious",130172177,178986784,39044,29076,5,TRUE,FALSE,131755537,31.32504,"Normal"
"403340",420159,"Warning","PolicyViolation","Suspicious",133089364,150342293,34949,25093,6,FALSE,FALSE,167668508,37.09836,"Normal"
"58467",60861,"Warning","Policy_Violation","Suspicious",137734339,197645753,45740,35373,8,TRUE,FALSE,161439070,30.90373,"Normal"
"6009",6261,"Alert","PolicyViolation","Elevated",132529259,209197200,46789,33152,6,FALSE,FALSE,149057264,28.50192,"Normal"
"165556",172407,"Informational","PolicyViolation","Critical",131555579,88525119,21986,39071,6,FALSE,FALSE,136354806,29.36945,"Normal"
"233957",243689,"Warning","PolicyViolation","Anomalous",125674781,124029940,26164,28660,4,TRUE,TRUE,195398056,NA,"Normal"
"194377",202488,"Warning","Policy_Violation","Anomalous",136872355,97367598,25265,42819,5,TRUE,FALSE,222544833,18.44458,"Normal"
"439730",458075,"Warning","NormalOperation","Anomalous",132916699,134937588,31120,27806,6,TRUE,FALSE,218604666,32.52333,"Normal"
"494951",515581,"Warning","NormalOperation","Anomalous",139006206,150460866,34535,44068,6,TRUE,FALSE,178354174,34.59024,"Normal"
"363849",379060,"Warning","NormalOperation","Suspicious",127347668,184537129,38389,42231,4,FALSE,TRUE,151996234,19.60178,"Normal"
"143906",149829,"Alert","PolicyViolation","Suspicious",129802252,172752588,38248,31214,6,FALSE,FALSE,150977129,21.09611,"Normal"
"111484",116037,"Warning","PolicyViolation","Suspicious",130828650,160410249,36287,28532,6,FALSE,FALSE,136293594,30.69144,"Normal"
"158246",164779,"Warning","PolicyViolation","Anomalous",88104105,116489367,25180,37198,6,FALSE,TRUE,201186898,31.54035,"Normal"
"200078",208420,"Warning","PolicyViolation","Anomalous",133595201,144873951,32791,32527,6,TRUE,FALSE,160862766,24.15756,"Normal"
"463599",482886,"Warning","Policy_Violation","Suspicious",125617664,164957575,36960,33530,6,TRUE,FALSE,174231970,NA,"Normal"
"50800",52882,"Warning","ThreatDetected","Anomalous",130195586,150194180,31584,41126,5,TRUE,FALSE,151879193,27.68502,"Normal"
"450365",469150,"Warning","ThreatDetected","Anomalous",128381682,146422033,31617,33320,5,TRUE,FALSE,154129469,31.83591,"Normal"
"5456",5683,"Warning","PolicyViolation","Suspicious",122620690,162073416,34894,34968,5,TRUE,TRUE,120888347,36.45888,"Normal"
"224684",234036,"Warning","PolicyViolation","Elevated",134325008,201910439,43381,24921,5,TRUE,FALSE,168536615,34.91682,"Normal"
"101791",105920,"Warning","Policy_Violation","Anomalous",134453557,148295210,35520,21432,7,FALSE,FALSE,167372959,30.12454,"Normal"
"2622",2725,"Warning","PolicyViolation","Anomalous",125918450,153767189,33176,36473,5,FALSE,FALSE,141360594,27.79757,"Normal"
"418901",436403,"Warning","PolicyViolation","Anomalous",120951719,147270119,31197,37228,5,TRUE,TRUE,148717206,22.74735,"Normal"
"106704",111051,"Warning","PolicyViolation","Anomalous",125146510,147887518,30483,30986,4,FALSE,TRUE,106791379,20.67283,"Normal"
"413207",430429,"Warning","PolicyViolation","Anomalous",137475608,141476257,31620,41102,5,TRUE,FALSE,169899884,25.92811,"Normal"
"397908",414512,"Warning","PolicyViolation","Anomalous",121939407,146894323,30719,36595,4,FALSE,TRUE,169590812,22.32097,"Normal"
"214050",222955,"Warning","PolicyViolation","Suspicious",130471008,173256956,37844,26518,6,TRUE,FALSE,168033317,27.76544,"Normal"
"311059",323976,"Warning","PolicyViolation","Suspicious",134213957,170822701,39256,36553,6,TRUE,FALSE,125880548,41.47037,"Normal"
"147598",153694,"Warning","PolicyViolation","Critical",127204629,90718704,20429,37177,5,TRUE,FALSE,158496728,18.87014,"Normal"
"20564",21393,"Warning","Policy_Violation","Suspicious",129798481,163222043,35155,35503,5,TRUE,FALSE,121750532,18.99122,"Normal"
"89835",93502,"Warning","Policy_Violation","Suspicious",127681005,146157729,33903,29523,6,FALSE,FALSE,123152594,42.57814,"Normal"
"252207",262702,"Warning","Policy_Violation","Suspicious",137507154,160392531,35732,26400,5,TRUE,FALSE,159878307,28.67284,"Normal"
"425133",442890,"Warning","PolicyViolation","Anomalous",137844063,127255245,30981,32889,6,TRUE,FALSE,145616081,19.81717,"Normal"
"411567",428724,"Warning","Policy_Violation","Suspicious",129325148,177464103,38612,27066,5,TRUE,TRUE,224726857,26.19014,"Normal"
"160090",166702,"Warning","Policy_Violation","Suspicious",130771889,188623238,40759,44917,5,FALSE,FALSE,185703281,26.26869,"Normal"
"41055",42748,"Warning","Policy_Violation","Anomalous",131722867,125652140,28041,36732,5,FALSE,FALSE,118253140,21.76546,"Normal"
"506328",527452,"Warning","PolicyViolation","Suspicious",126434953,154653914,36261,29755,6,FALSE,FALSE,150097291,41.0629,"Normal"
"264749",275752,"Warning","PolicyViolation","Critical",129506398,98190666,22708,34559,5,FALSE,FALSE,112770754,NA,"Normal"
"218569",227699,"Warning","PolicyViolation","Anomalous",129984936,146039983,31608,25919,5,FALSE,FALSE,115378222,37.70819,"Normal"
"85875",89396,"Warning","PolicyViolation","Anomalous",129194067,139208171,31205,31208,6,FALSE,FALSE,178798564,30.01101,"Normal"
"43795",45597,"Informational","Policy_Violation","Elevated",128680204,194690763,43388,32233,6,TRUE,FALSE,143208835,24.84782,"Normal"
"88827",92461,"Warning","Policy_Violation","Anomalous",129287394,150298462,34405,27215,6,TRUE,FALSE,162696519,20.77489,"Normal"
"512986",534381,"Warning","PolicyViolation","Anomalous",129171154,147403860,33244,51118,6,FALSE,FALSE,124044783,24.74326,"Normal"
"316216",329345,"Warning","PolicyViolation","Anomalous",123206667,104706842,24101,25772,5,FALSE,FALSE,167322740,29.80598,"Normal"
"184239",191909,"Warning","PolicyViolation","Suspicious",130270835,165834312,37758,29602,6,FALSE,FALSE,174366856,34.24846,"Normal"
"237988",247877,"Informational","Policy_Violation","Suspicious",135195367,188399285,42105,39468,6,FALSE,FALSE,209632420,23.63837,"Normal"
"202168",210606,"Warning","NormalOperation","Anomalous",135151920,160151479,35523,28358,6,TRUE,FALSE,135997942,34.59026,"Normal"
"112751",117358,"Warning","Policy_Violation","Suspicious",121928846,183155290,38694,26228,4,TRUE,TRUE,108033024,31.94566,"Normal"
"216368",225378,"Warning","PolicyViolation","Suspicious",127004833,134606014,31602,31517,6,FALSE,FALSE,142533096,35.70105,"Normal"
"502991",523973,"Warning","Policy_Violation","Anomalous",140238663,123008934,28729,39307,6,TRUE,FALSE,149625562,28.66787,"Normal"
"208039",216694,"Warning","PolicyViolation","Anomalous",126532164,104780581,23477,28635,5,TRUE,FALSE,100808154,24.15482,"Normal"
"539999",562473,"Warning","PolicyViolation","Suspicious",132392634,155091060,34474,24441,5,FALSE,FALSE,154377173,23.63122,"Normal"
"457183",476226,"Alert","Policy_Violation","Anomalous",142967163,118621449,26677,24347,5,TRUE,FALSE,180194318,36.86606,"Normal"
"152907",159227,"Warning","NormalOperation","Suspicious",119724694,170252731,36433,28365,5,FALSE,TRUE,174871165,27.53983,"Normal"
"143435",149340,"Warning","PolicyViolation","Suspicious",108615059,125105544,33054,NA,8,TRUE,FALSE,84545016,25.01599,"Normal"
"214628",223558,"Warning","PolicyViolation","Anomalous",127936678,155092014,35392,26908,6,FALSE,FALSE,100728687,NA,"Normal"
"385798",401921,"Warning","PolicyViolation","Suspicious",138854811,171900295,39367,44335,6,FALSE,FALSE,95074760,22.75872,"Normal"
"7105",7400,"Warning","PolicyViolation","Suspicious",137703988,192411244,41718,28378,5,FALSE,FALSE,165097768,18.48627,"Normal"
"432814",450873,"Warning","PolicyViolation","Suspicious",133389437,172317432,38409,35683,6,TRUE,FALSE,85714457,28.68657,"Normal"
"24189",25187,"Warning","Policy_Violation","Suspicious",125983866,144100199,28907,27788,3,FALSE,TRUE,175198389,36.33476,"Normal"
"354938",369793,"Warning","PolicyViolation","Anomalous",128428210,138613272,31033,26728,6,TRUE,FALSE,100873074,NA,"Normal"
"89946",93615,"Warning","PolicyViolation","Elevated",129603218,188965340,43565,30120,6,TRUE,FALSE,137098246,34.36311,"Normal"
"521726",543461,"Warning","Policy_Violation","Suspicious",128861380,159822376,34789,41426,5,FALSE,FALSE,126407156,25.85512,"Normal"
"195992",204169,"Warning","PolicyViolation","Suspicious",133894941,184798576,42161,31910,6,TRUE,FALSE,172170741,33.51898,"Normal"
"128504",133771,"Warning","NormalOperation","Anomalous",126489623,121617032,27062,37198,5,FALSE,FALSE,150122046,37.91968,"Normal"
"459853",478999,"Warning","PolicyViolation","Suspicious",136753010,177250662,38979,39575,5,TRUE,FALSE,221246072,26.09387,"Normal"
"432247",450284,"Warning","ThreatDetected","Suspicious",107461304,116517920,29120,37684,7,FALSE,FALSE,180569452,37.46658,"Normal"
"147848",153947,"Warning","PolicyViolation","Anomalous",130499486,116667035,25329,26253,4,FALSE,FALSE,127229140,31.95755,"Normal"
"73784",76790,"Warning","PolicyViolation","Anomalous",133598399,130979358,27521,34045,4,TRUE,TRUE,156325490,34.44466,"Normal"
"153881",160228,"Warning","Policy_Violation","Anomalous",129884614,119979959,26281,30436,5,TRUE,FALSE,130954525,38.21932,"Normal"
"470695",490267,"Warning","PolicyViolation","Anomalous",130623591,133663560,27601,35543,3,FALSE,TRUE,160683544,26.49315,"Normal"
"143485",149391,"Warning","PolicyViolation","Anomalous",129958880,124537821,27581,50514,5,FALSE,FALSE,174748394,27.09189,"Normal"
"459791",478936,"Warning","Policy_Violation","Suspicious",135444402,195590997,43772,42427,6,FALSE,FALSE,168654327,23.73517,"Normal"
"273659",285012,"Warning","PolicyViolation","Suspicious",129208096,195162522,44822,39268,7,FALSE,FALSE,152628325,25.10381,"Normal"
"74021",77042,"Warning","ThreatDetected","Suspicious",125511057,186243210,41600,37520,6,TRUE,FALSE,131495704,28.55423,"Normal"
"254273",264846,"Warning","NormalOperation","Critical",129993152,94095329,22487,41560,6,TRUE,FALSE,135301962,34.74657,"Normal"
"279281",290874,"Warning","PolicyViolation","Anomalous",135139472,127296640,28638,20508,5,TRUE,FALSE,135967621,21.74655,"Normal"
"535237",557543,"Warning","ThreatDetected","Elevated",130544884,194519731,43060,36977,6,TRUE,FALSE,190005929,22.32872,"Normal"
"11786",12268,"Warning","PolicyViolation","Anomalous",138736203,97199809,22792,41322,5,TRUE,FALSE,152024053,23.2193,"Normal"
"466617",486028,"Warning","PolicyViolation","Anomalous",121304000,121552599,28195,18986,5,FALSE,FALSE,120866454,23.99021,"Normal"
"295812",308100,"Warning","PolicyViolation","Anomalous",130711689,135748892,28499,NA,4,FALSE,TRUE,178139151,39.08908,"Normal"
"39586",41214,"Warning","PolicyViolation","Suspicious",124200622,171130791,37525,38864,6,TRUE,FALSE,138838580,26.07906,"Normal"
"523590",545410,"Warning","NormalOperation","Anomalous",128150468,155366181,34407,19619,6,TRUE,FALSE,147816097,27.89261,"Normal"
"347763",362331,"Alert","Policy_Violation","Suspicious",124264375,179671348,38586,32597,5,FALSE,TRUE,152740867,NA,"Normal"
"42860",44627,"Warning","ThreatDetected","Suspicious",140143946,154494546,35215,31602,6,TRUE,FALSE,122626648,28.5863,"Normal"
"431696",449711,"Warning","Policy_Violation","Anomalous",122798575,117201018,27644,30760,6,FALSE,FALSE,128075930,32.45803,"Normal"
"272923",284256,"Warning","Policy_Violation","Suspicious",132311537,190960354,40732,42179,5,TRUE,FALSE,160847737,30.02002,"Normal"
"173331",180517,"Warning","ThreatDetected","Anomalous",135365477,137449929,31752,38311,6,TRUE,FALSE,134826594,31.25253,"Normal"
"469761",489302,"Warning","PolicyViolation","Suspicious",124331865,168941129,36566,29910,5,FALSE,TRUE,217942478,24.92664,"Normal"
"309807",322667,"Alert","Policy_Violation","Suspicious",128184935,136988115,33063,NA,7,TRUE,FALSE,86497859,31.63923,"Normal"
"312459",325425,"Warning","NormalOperation","Suspicious",137284162,161944474,35768,36161,5,TRUE,FALSE,132627320,21.58841,"Normal"
"514385",535833,"Informational","ThreatDetected","Anomalous",126288499,125667395,28405,40110,6,FALSE,FALSE,163066384,29.42047,"Normal"
"314364",327415,"Warning","PolicyViolation","Suspicious",179862348,94288186,25888,32868,4,FALSE,FALSE,163817277,27.87444,"Normal"
"90889",94589,"Warning","ThreatDetected","Anomalous",125497173,151670917,35351,33139,7,FALSE,FALSE,172892445,34.42224,"Normal"
"216265",225273,"Informational","Policy_Violation","Anomalous",135619842,115856367,26453,37948,6,FALSE,FALSE,142787343,27.46815,"Normal"
"6306",6572,"Warning","PolicyViolation","Anomalous",125346646,106846916,23487,36903,4,FALSE,FALSE,139505942,29.67187,"Normal"
"434328",452440,"Alert","Policy_Violation","Anomalous",123194741,114827698,26677,NA,6,TRUE,FALSE,113624627,31.586,"Normal"
"454540",473489,"Warning","ThreatDetected","Critical",125640797,85468118,19895,36375,5,TRUE,FALSE,156210162,31.39845,"Normal"
"152897",159215,"Warning","PolicyViolation","Anomalous",124688746,138853635,29514,36007,4,FALSE,TRUE,199740359,31.81542,"Normal"
"279987",291604,"Warning","Policy_Violation","Suspicious",125077432,141896012,32746,37432,6,FALSE,FALSE,128146118,33.36427,"Normal"
"6100",6357,"Warning","PolicyViolation","Suspicious",165994235,75344019,25335,36991,6,TRUE,FALSE,119308664,25.02494,"Normal"
"41891",43623,"Warning","PolicyViolation","Suspicious",131618062,142402325,30990,36339,4,TRUE,FALSE,161233877,32.12708,"Normal"
"82952",86356,"Warning","PolicyViolation","Anomalous",133983053,130290869,29939,35081,6,FALSE,FALSE,127251636,26.82644,"Normal"
"280104",291726,"Informational","PolicyViolation","Anomalous",126147719,151713306,31313,31248,4,FALSE,TRUE,140050485,39.43712,"Normal"
"101519",105636,"Warning","Policy_Violation","Anomalous",139029478,145563926,31315,39367,4,FALSE,FALSE,159648832,25.18458,"Normal"
"465554",484927,"Warning","ThreatDetected","Anomalous",118882325,129830193,27848,35262,5,FALSE,TRUE,162216425,29.74218,"Normal"
"503226",524216,"Warning","PolicyViolation","Suspicious",129031643,146632856,32434,46585,5,FALSE,FALSE,115988470,30.96107,"Normal"
"270763",282000,"Warning","PolicyViolation","Anomalous",132436512,146763875,34244,35057,7,TRUE,FALSE,122567547,27.93495,"Normal"
"345053",359487,"Warning","PolicyViolation","Suspicious",139061792,174043462,39931,44239,6,TRUE,FALSE,149357593,36.07895,"Normal"
"154540",160917,"Warning","Policy_Violation","Critical",126542141,68918175,14889,27850,4,TRUE,FALSE,176001248,23.19803,"Normal"
"535139",557441,"Warning","Policy_Violation","Suspicious",135334372,188658984,43468,30368,7,TRUE,FALSE,149926957,24.69158,"Normal"
"256988",267672,"Warning","PolicyViolation","Critical",128320143,108409411,24300,25306,5,TRUE,FALSE,208515718,33.46984,"Normal"
"349981",364641,"Alert","Policy_Violation","Suspicious",134088768,170014123,37302,39447,5,TRUE,FALSE,167585486,36.80379,"Normal"
"536163",558490,"Warning","Policy_Violation","Elevated",140452753,218130666,48776,29707,6,TRUE,FALSE,175781322,31.14516,"Normal"
"351855",366588,"Warning","Policy_Violation","Anomalous",134158914,149923911,33497,41389,6,TRUE,FALSE,112502890,31.56955,"Normal"
"211234",220016,"Warning","PolicyViolation","Anomalous",140638158,142521105,33134,40518,6,TRUE,FALSE,141864426,NA,"Normal"
"66953",69691,"Warning","PolicyViolation","Anomalous",129703073,121697523,28969,28390,7,FALSE,FALSE,80185921,34.46285,"Normal"
"196431",204625,"Warning","ThreatDetected","Anomalous",110153126,111563262,27719,22902,6,FALSE,FALSE,122219698,36.12083,"Normal"
"218400",227520,"Warning","Policy_Violation","Suspicious",138051445,204203475,43595,27972,5,FALSE,FALSE,176603687,26.21027,"Normal"
"190886",198847,"Alert","PolicyViolation","Suspicious",123936046,176105611,37878,33729,5,TRUE,FALSE,154053962,31.05503,"Normal"
"496698",517405,"Warning","PolicyViolation","Suspicious",128036839,162008208,35830,27977,5,TRUE,FALSE,191641563,29.82176,"Normal"
"78365",81560,"Warning","PolicyViolation","Suspicious",126659441,165258410,37686,27347,6,TRUE,FALSE,199989697,27.16617,"Normal"
"134139",139639,"Warning","PolicyViolation","Suspicious",124250058,168336704,35754,30774,4,TRUE,TRUE,112892481,16.05849,"Normal"
"279504",291104,"Warning","ThreatDetected","Anomalous",123866867,104879732,23684,28436,4,FALSE,TRUE,126354251,31.19835,"Normal"
"333475",347368,"Warning","ThreatDetected","Suspicious",124954629,149222191,33753,35797,6,TRUE,FALSE,125161584,28.37685,"Normal"
